,El grand cavalcodos,0,Bunuel; Year is not defined
,Susan Sarandon,1946; Duplicate star
,Fred Savage,1976; Duplicate star
,Greta Scacchi,1960; Duplicate star
,Arnold Schwarzenegger,1947; Duplicate star
,Hanna Schygulla,1943; Duplicate star
,Steven Seagal,1952; Duplicate star
,George Segal,1934; Duplicate star
,Jane Seymour,1951; Duplicate star
,Tupac Shakur,1971; Duplicate star
,Omar Sharif,1932; Duplicate star
,William Shatner,1931; Duplicate star
,Martin Sheen,1940; Duplicate star
,Sam Shepard,1943; Duplicate star
,Martin Short,1950; Duplicate star
,Ron Silver,1946; Duplicate star
,Tom Skerritt,1933; Duplicate star
,Christian Slater,1969; Duplicate star
,Lois Smith,1930; Duplicate star
,Maggie Smith,1934; Duplicate star
,Paul Sorvino,1939; Duplicate star
,David Soul,1943; Duplicate star
,Bud Spencer,1929; Duplicate star
,Sylvester Stallone,1946; Duplicate star
,John Standing,1934; Duplicate star
,Maureen Stapleton,1925; Duplicate star
,Rod Steiger,1925; Duplicate star
,Andrew Stevens,1955; Duplicate star
,Christopher Stone,; Duplicate star
,Meryl Streep,1949; Duplicate star
,Donald Sutherland,1935; Duplicate star
,Dudley Sutton,1933; Duplicate star
,Bo Svenson,1941; Duplicate star
,Patrick Swayze,1952; Duplicate star
,Derek Thompson,; Duplicate star
,Jack Thompson,1940; Duplicate star
,Rip Torn,1931; Duplicate star
,John Travolta,1954; Duplicate star
,Guinevere Turner,1968; Duplicate star
,Robert Vaughn,1932; Duplicate star
,Jon Voight,1938; Duplicate star
,Lindsay Wagner,1949; Duplicate star
,Robert Wagner,1930; Duplicate star
,Christopher Walken,1943; Duplicate star
,Lesley Ann Warren,1946; Duplicate star
,Craig Wasson,1954; Duplicate star
,Sam Waterston,1940; Duplicate star
,Emily Watson,1967; Duplicate star
,Sigourney Weaver,1949; Duplicate star
,Robin Williams,1951; Duplicate star
,Vanessa Williams,1963; Duplicate star
,Vanessa Williams,1963; Duplicate star
,Fred Williamson,1938; Duplicate star
,Scott Wilson,1942; Duplicate star
,Kate Winslet,1975; Duplicate star
,David Wood,; Duplicate star
,Elijah Wood,1981; Duplicate star
,Michael York,1942; Duplicate star
